iter	Passed	Remaining
0	19	11560
1	33	9915
2	46	9227
3	59	8835
4	71	8559
5	85	8505
6	98	8361
7	112	8329
8	125	8246
9	138	8164
10	151	8125
11	164	8072
12	180	8140
13	194	8144
14	208	8112
15	222	8108
16	235	8077
17	248	8028
18	261	7991
19	274	7964
20	287	7931
21	301	7921
22	314	7895
23	327	7870
24	341	7859
25	355	7851
26	368	7820
27	381	7787
28	394	7761
29	407	7733
30	420	7711
31	432	7671
32	444	7644
33	457	7622
34	470	7597
35	483	7572
36	495	7540
37	508	7513
38	521	7499
39	536	7509
40	548	7479
41	562	7470
42	576	7464
43	590	7464
44	606	7475
45	620	7467
46	633	7455
47	648	7456
48	661	7436
49	675	7425
50	690	7434
51	703	7417
52	717	7402
53	731	7393
54	744	7373
55	757	7361
56	770	7343
57	783	7322
58	796	7303
59	809	7286
60	823	7275
61	836	7259
62	850	7246
63	863	7233
64	878	7226
65	892	7221
66	906	7207
67	919	7193
68	933	7183
69	946	7166
70	960	7155
71	973	7142
72	987	7129
73	1001	7116
74	1014	7100
75	1027	7085
76	1041	7073
77	1055	7063
78	1070	7058
79	1083	7045
80	1099	7046
81	1118	7063
82	1137	7086
83	1156	7107
84	1177	7132
85	1201	7182
86	1238	7305
87	1263	7350
88	1290	7410
89	1314	7450
90	1338	7487
91	1360	7511
92	1381	7530
93	1400	7539
94	1422	7560
95	1441	7569
96	1459	7566
97	1475	7557
98	1493	7557
99	1510	7553
100	1527	7547
101	1544	7538
102	1560	7529
103	1577	7522
104	1593	7511
105	1610	7503
106	1626	7493
107	1641	7480
108	1656	7462
109	1673	7455
110	1688	7440
111	1705	7430
112	1723	7428
113	1739	7414
114	1755	7404
115	1772	7393
116	1789	7388
117	1808	7387
118	1826	7381
119	1843	7374
120	1860	7365
121	1878	7358
122	1894	7348
123	1910	7333
124	1926	7322
125	1944	7314
126	1960	7301
127	1977	7291
128	1994	7281
129	2012	7274
130	2028	7262
131	2045	7251
132	2062	7240
133	2078	7228
134	2094	7215
135	2111	7203
136	2128	7193
137	2144	7180
138	2161	7168
139	2177	7154
140	2194	7143
141	2209	7125
142	2225	7112
143	2241	7098
144	2258	7087
145	2275	7076
146	2293	7068
147	2309	7053
148	2327	7043
149	2343	7029
150	2360	7019
151	2377	7006
152	2393	6992
153	2410	6980
154	2427	6968
155	2444	6956
156	2460	6942
157	2478	6932
158	2494	6917
159	2509	6901
160	2525	6887
161	2543	6876
162	2560	6865
163	2577	6852
164	2594	6840
165	2610	6825
166	2627	6813
167	2643	6798
168	2661	6786
169	2678	6773
170	2693	6757
171	2710	6744
172	2728	6733
173	2743	6717
174	2761	6706
175	2778	6694
176	2794	6679
177	2812	6667
178	2828	6651
179	2845	6639
180	2863	6629
181	2879	6614
182	2896	6600
183	2912	6584
184	2929	6572
185	2946	6557
186	2962	6543
187	2980	6531
188	2996	6517
189	3014	6504
190	3030	6488
191	3047	6476
192	3063	6460
193	3080	6447
194	3098	6434
195	3114	6419
196	3132	6407
197	3150	6395
198	3166	6380
199	3183	6366
200	3200	6352
201	3216	6337
202	3234	6325
203	3250	6310
204	3268	6297
205	3284	6281
206	3302	6269
207	3317	6253
208	3335	6240
209	3351	6223
210	3368	6210
211	3386	6197
212	3402	6182
213	3420	6169
214	3437	6154
215	3452	6136
216	3468	6121
217	3485	6108
218	3502	6093
219	3518	6077
220	3535	6063
221	3551	6047
222	3569	6033
223	3585	6017
224	3601	6002
225	3618	5988
226	3636	5974
227	3652	5959
228	3670	5946
229	3686	5930
